Area,Area_ID
"Chennai, Tamil Nadu, India",1
India,2
"Bengaluru, Karnataka, India",3
"Chengalpattu, Tamil Nadu, India",4
Greater Chennai Area,5
"Bangalore Urban, Karnataka, India",6
"Tiruvallur, Tamil Nadu, India",7
"Coimbatore, Tamil Nadu, India",8
"Tamil Nadu, India",9
"Jharkhand, India",10
Greater Hyderabad Area,11
"Gurgaon, Haryana, India",12
San Francisco Bay Area,13
"Gurugram, Haryana, India",14
23 connections,15
"London Area, United Kingdom",16
"Mumbai, Maharashtra, India",17
"Maharashtra, India",18
"Udipi, Karnataka, India",19
"Mangaluru, Karnataka, India",20
"Irving, Texas, United States",21
Miami-Fort Lauderdale Area,22
New York City Metropolitan Area,23
"Great Falls, Virginia, United States",24
"San Jose, California, United States",25
"Amsterdam, North Holland, Netherlands",26
South Africa,27
"Portland, Oregon, United States",28
"Sultanpur, Uttar Pradesh, India",29
United Kingdom,30
"Hyderabad, Telangana, India",31
"London, England, United Kingdom",32
"Arakkonam, Tamil Nadu, India",33
"Orissa, India",34
"Kanchipuram, Tamil Nadu, India",35
"Tiruchirappalli, Tamil Nadu, India",36
"Thoothukudi, Tamil Nadu, India",37
"Andhra Pradesh, India",38
"Folsom, California, United States",39
"Basingstoke, England, United Kingdom",40
"Plano, Texas, United States",41
"New York, New York, United States",42
"North Olmsted, Ohio, United States",43
"Tripura, India",44
"Milton Keynes, England, United Kingdom",45
"Karnataka, India",46
"Namakkal, Tamil Nadu, India",47
"Tirupati, Andhra Pradesh, India",48
"Delhi, India",49
"Erode, Tamil Nadu, India",50
"Malappuram, Kerala, India",51
"Cuddalore, Tamil Nadu, India",52
"Mumbai Suburban district, Maharashtra, India",53
"Madurai, Tamil Nadu, India",54
"Jamshedpur, Jharkhand, India",55
"Gwalior, Madhya Pradesh, India",56
"Eluru, Andhra Pradesh, India",57
"Rotterdam, South Holland, Netherlands",58
"Hoofddorp, North Holland, Netherlands",59
"North Delhi, Delhi, India",60
United States,61
"Amstelveen, North Holland, Netherlands",62
"Harlow, England, United Kingdom",63
"Alpharetta, Georgia, United States",64
500+ connections,65
"Salem, Tamil Nadu, India",66
"Cuttack, Orissa, India",67
"Beaverton, Oregon, United States",68
"Pune, Maharashtra, India",69
Greater Vijayawada District,70
Greater Bengaluru Area,71
"Chinthamani Madurai, Tamil Nadu, India",72
Pune/Pimpri-Chinchwad Area,73
Singapore,74
Panama,75
"Thiruvananthapuram Taluk, Kerala, India",76
"Haveri, Karnataka, India",77
"County Dublin, Ireland",78
"Opfikon, Zurich, Switzerland",79
"The Hague, South Holland, Netherlands",80
"Haarlem, North Holland, Netherlands",81
"Sydney, New South Wales, Australia",82
"Portland, Oregon Metropolitan Area",83
"The Randstad, Netherlands",84
"Vellore, Tamil Nadu, India",85
"Deogarh, Madhya Pradesh, India",86
